"TIME","GEO","SEX","ISCED11","AGE","UNIT","Value"
"2010","Malta","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","39.7"
"2010","Malta","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","25.6"
"2010","Malta","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","14.2"
"2010","Netherlands","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","31.8"
"2010","Netherlands","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","68.2"
"2010","Netherlands","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","40.5"
"2010","Netherlands","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","27.7"
"2010","Austria","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","23.2"
"2010","Austria","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","76.8"
"2010","Austria","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","60.5"
"2010","Austria","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","16.2"
"2010","Poland","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","18.0"
"2010","Poland","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","82.0"
"2010","Poland","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","62.6"
"2010","Poland","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","19.4"
"2010","Portugal","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","67.3"
"2010","Portugal","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","32.7"
"2010","Portugal","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","18.8"
"2010","Portugal","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","13.9"
"2010","Romania","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","30.6"
"2010","Romania","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","69.4"
"2010","Romania","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","57.5"
"2010","Romania","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","11.9"
"2010","Slovenia","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","20.9"
"2010","Slovenia","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","79.1"
"2010","Slovenia","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","58.9"
"2010","Slovenia","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","20.2"
"2010","Slovakia","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","16.3"
"2010","Slovakia","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","83.7"
"2010","Slovakia","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","68.7"
"2010","Slovakia","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","15.1"
"2010","Finland","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","23.6"
"2010","Finland","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","76.4"
"2010","Finland","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","44.8"
"2010","Finland","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","31.6"
"2010","Sweden","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","25.0"
"2010","Sweden","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","75.0"
"2010","Sweden","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","46.7"
"2010","Sweden","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","28.2"
"2010","Iceland","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","40.6"
"2010","Iceland","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","59.4"
"2010","Iceland","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","33.0"
"2010","Iceland","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","26.3"
"2010","Norway","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","25.7"
"2010","Norway","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","74.3"
"2010","Norway","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","42.9"
"2010","Norway","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","31.4"
"2010","Switzerland","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","21.3"
"2010","Switzerland","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","78.7"
"2010","Switzerland","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","49.9"
"2010","Switzerland","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","28.8"
"2010","United Kingdom","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","24.1"
"2010","United Kingdom","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","75.9"
"2010","United Kingdom","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","44.2"
"2010","United Kingdom","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","31.6"
"2010","Montenegro","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage",":"
"2010","Montenegro","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage",":"
"2010","Montenegro","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage",":"
"2010","Montenegro","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage",":"
"2010","North Macedonia","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","39.4"
"2010","North Macedonia","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","60.6"
"2010","North Macedonia","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","47.3"
"2010","North Macedonia","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","13.3"
"2010","Serbia","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","29.3"
"2010","Serbia","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","70.7"
"2010","Serbia","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","56.1"
"2010","Serbia","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","14.6"
"2010","Turkey","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","70.7"
"2010","Turkey","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","29.3"
"2010","Turkey","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","18.8"
"2010","Turkey","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","10.5"
"2011","European Union - 27 countries (from 2020)","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","30.5"
"2011","European Union - 27 countries (from 2020)","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","69.5"
"2011","European Union - 27 countries (from 2020)","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","47.1"
"2011","European Union - 27 countries (from 2020)","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","22.4"
"2011","European Union - 28 countries (2013-2020)","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","29.7"
"2011","European Union - 28 countries (2013-2020)","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","70.3"
"2011","European Union - 28 countries (2013-2020)","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","46.6"
"2011","European Union - 28 countries (2013-2020)","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","23.7"
"2011","European Union - 15 countries (1995-2004)","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","32.2"
"2011","European Union - 15 countries (1995-2004)","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","67.8"
"2011","European Union - 15 countries (1995-2004)","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","42.6"
"2011","European Union - 15 countries (1995-2004)","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","25.2"
"2011","Euro area - 19 countries  (from 2015)","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","33.3"
"2011","Euro area - 19 countries  (from 2015)","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","66.7"
"2011","Euro area - 19 countries  (from 2015)","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","43.2"
"2011","Euro area - 19 countries  (from 2015)","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","23.5"
"2011","Belgium","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","31.9"
"2011","Belgium","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","68.1"
"2011","Belgium","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","37.7"
"2011","Belgium","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","30.4"
"2011","Bulgaria","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","24.0"
"2011","Bulgaria","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","76.0"
"2011","Bulgaria","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","55.9"
"2011","Bulgaria","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","20.1"
"2011","Czechia","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","13.9"
"2011","Czechia","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","86.1"
"2011","Czechia","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","70.3"
"2011","Czechia","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","15.8"
"2011","Denmark","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","30.9"
"2011","Denmark","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","69.1"
"2011","Denmark","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","41.3"
"2011","Denmark","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","27.8"
"2011","Germany (until 1990 former territory of the FRG)","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","18.1"
"2011","Germany (until 1990 former territory of the FRG)","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","81.9"
"2011","Germany (until 1990 former territory of the FRG)","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","57.6"
"2011","Germany (until 1990 former territory of the FRG)","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","24.3"
"2011","Estonia","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","17.7"
"2011","Estonia","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","82.3"
"2011","Estonia","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","51.0"
"2011","Estonia","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","31.3"
"2011","Ireland","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","29.1"
"2011","Ireland","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","70.9"
"2011","Ireland","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","36.5"
"2011","Ireland","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","34.4"
"2011","Greece","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","37.1"
"2011","Greece","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","62.9"
"2011","Greece","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","40.7"
"2011","Greece","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","22.2"
"2011","Spain","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","47.0"
"2011","Spain","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","53.0"
"2011","Spain","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","23.7"
"2011","Spain","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","29.3"
"2011","France","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","31.2"
"2011","France","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","68.8"
"2011","France","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","42.0"
"2011","France","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","26.7"
"2011","Croatia","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","24.6"
"2011","Croatia","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","75.4"
"2011","Croatia","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","60.0"
"2011","Croatia","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","15.4"
"2011","Italy","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","45.5"
"2011","Italy","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","54.5"
"2011","Italy","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","41.4"
"2011","Italy","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","13.2"
"2011","Cyprus","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","28.3"
"2011","Cyprus","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","71.7"
"2011","Cyprus","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","38.0"
"2011","Cyprus","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","33.7"
"2011","Latvia","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","19.5"
"2011","Latvia","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","80.5"
"2011","Latvia","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","56.8"
"2011","Latvia","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","23.6"
"2011","Lithuania","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","15.9"
"2011","Lithuania","Total","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","From 15 to 64 years","Percentage","84.1"
"2011","Lithuania","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 15 to 64 years","Percentage","56.3"
"2011","Lithuania","Total","Tertiary education (levels 5-8)","From 15 to 64 years","Percentage","27.9"
"2011","Luxembourg","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 15 to 64 years","Percentage","29.1"
